"","file","size_bytes","checksum_sha256","is_metadata","folder","filename","depth","format_id","package","package_nfiles","parent_package"
"1","./inst/inventory_nested/A.txt",2,"5cb80067190145023212545ff6073aa218e14ee77b5fca818f782ab2bb04bc14",FALSE,"./inst/inventory_nested","A.txt",4,"text/plain","A",12,""
"2","./inst/inventory_nested/B.txt",2,"5c7cc9e9eed79f8c7cd5dd9a0763dfc5b1e9ba2e83b8d7b00ab34664512a4680",FALSE,"./inst/inventory_nested","B.txt",4,"text/plain","A",12,""
"3","./inst/inventory_nested/C.txt",2,"42717f88d6c5842dbb786030645817de99fe570cbb08c075965836b5927ddded",FALSE,"./inst/inventory_nested","C.txt",4,"text/plain","A",12,""
"4","./inst/inventory_nested/child_one/A.txt",2,"714ed658fa24998f8afe77b47ee81a9e2ac73172700be4cfd280745b457a1b8c",FALSE,"./inst/inventory_nested/child_one","A.txt",5,"text/plain","B",12,"A"
"5","./inst/inventory_nested/child_one/B.txt",2,"9b59424916c7b9b4d71657b96673cf9dd1e7d108eaddf18770d8cec00f50ea72",FALSE,"./inst/inventory_nested/child_one","B.txt",5,"text/plain","B",12,"A"
"6","./inst/inventory_nested/child_one/C.txt",2,"062911efb2484119c8beedd20f57f487c3b5ff69df0022ee1ae359a82f9e5d14",FALSE,"./inst/inventory_nested/child_one","C.txt",5,"text/plain","B",12,"A"
"7","./inst/inventory_nested/child_one/child_two/A.txt",2,"1428f5b44b599103c0405895a16c5512a6d0d508982a39d5b7c87292142d1173",FALSE,"./inst/inventory_nested/child_one/child_two","A.txt",6,"text/plain","C",12,"B"
"8","./inst/inventory_nested/child_one/child_two/B.txt",2,"c0ca415424b0c09bd434145ea03d98a0e0b94936dfea34a7eef89311980852b3",FALSE,"./inst/inventory_nested/child_one/child_two","B.txt",6,"text/plain","C",12,"B"
"9","./inst/inventory_nested/child_one/child_two/C.txt",2,"6a057d87a3ddece83dc27d8ae7db2e1417607b13ba84f0f7b44bcf3a7e80c794",FALSE,"./inst/inventory_nested/child_one/child_two","C.txt",6,"text/plain","C",12,"B"
"10","./inst/inventory_nested/child_one/child_two/eml_metadata.xml",2478,"85128f99d8bd1db158b4e6116721010fd5b48595d73cfea7711ff2c26762f566",TRUE,"./inst/inventory_nested/child_one/child_two","eml_metadata.xml",6,"application/xml","C",12,"B"
"11","./inst/inventory_nested/child_one/eml_metadata.xml",2478,"51f48a7a88f18a724b54bb5f0c996e9a117eaa241215d29c06d78fc51e326e1e",TRUE,"./inst/inventory_nested/child_one","eml_metadata.xml",5,"application/xml","B",12,"A"
"12","./inst/inventory_nested/eml_metadata.xml",2478,"4168e6bcafc36992b0d38677b961c655af8d6a9c76a690514e3d35c2e6822836",TRUE,"./inst/inventory_nested","eml_metadata.xml",4,"application/xml","A",12,""
